DATE	TIME	CAN0.trq_req	Average Torque	Average Speed	Average Voltage	Average Current	Vibration	CAN0.v_bus_filt	CAN0.spd_act	CAN0.trq_des	CAN0.mtr_temp1	CAN0.mtr_temp2	CAN0.inv_temp1	CAN0.inv_temp2	CAN0.inv_temp3	CAN0.phs_ia	CAN0.phs_ib	CAN0.phs_ic
Mo/Day/Yr	Hr:Min:Sec	(Nm or % Trq)	(Nm)	(RPM)	(V)	(A)	(mm/s)	(V)	(rpm)	(Nm)	(C)	(C)	(C)	(C)	(C)	(Arms)	(Arms)	(Arms)
05/18/2022	14:26:27.6581	10	1.66060221	26.21419	297.4434	0.21885	0.105729684	310.4	423	26.2	25	24	24	24	24	-22.3	-33.8	55.7
05/18/2022	14:26:28.6581	10	6.04122829	119.550117	316.722443	0.89103	0.227738425	315.1	500	26.4	24	24	24	24	24	-57.7	19	35.4
05/18/2022	14:26:29.6581	10	10.4630108	219.454315	319.428162	1.75052	0.290547848	316.7	499	26.4	25	24	24	25	25	-58.1	20.8	34.1
05/18/2022	14:26:30.6581	10	14.89036	319.405823	319.457367	2.66555	0.319430739	317.4	499	26.4	24	24	25	25	25	-56.7	22.7	33.7
05/18/2022	14:26:31.6581	10	19.3162575	419.358765	319.4579	3.52491	0.330028057	317.6	501	26.4	25	24	24	24	24	-57.7	21.7	34.5
05/18/2022	14:26:32.6581	10	22.1796627	493.093384	319.4591	4.22569	0.3356384	317.7	499	26.4	25	24	23	23	22	-56.6	24.1	33.8
05/18/2022	14:26:33.6581	10	22.22239	499.709625	319.4599	4.54526	0.3369544	317.7	499	26.4	25	24	22	22	21	-56.6	26.4	31.7
05/18/2022	14:26:34.6581	10	22.2260666	499.758331	319.45993	4.58319	0.3389064	317.7	501	26.4	25	24	21	21	21	-57.2	23.1	32.9
05/18/2022	14:26:35.6581	10	22.2225037	499.759552	319.4599	4.58279	0.336002052	317.7	499	26.4	25	24	21	20	20	-57.7	26.6	31.9
05/18/2022	14:26:36.6581	10	22.21314	499.758972	319.459839	4.70563	0.331067026	317.7	499	26.4	25	24	20	20	20	-57.2	25.8	29.8
05/18/2022	14:26:37.6581	10.63	22.2188282	499.758759	319.459839	4.96571	0.328894675	317.7	502	26.4	25	24	20	19	19	-56.4	24.8	31.9
05/18/2022	14:26:38.6581	100	42.92263	609.9153	319.421448	6.86143	0.4789447	317.2	2335	261.5	25	24	19	19	19	-559.2	225.5	345.2
05/18/2022	14:26:39.6581	100	88.2945862	1096.8147	319.379547	46.01724	1.38599432	315.7	3506	264.9	24	24	20	21	20	195	-544.1	250.9
05/18/2022	14:26:40.6581	100	135.051865	1695.109	319.378174	107.633247	2.131112	315	3506	264.9	25	23	22	22	21	184	-549.8	260.7
05/18/2022	14:26:41.6581	100	181.8146	2294.86084	319.3781	170.065857	2.470377	314.7	3492	264.9	25	24	22	22	22	268.3	-559.2	282.9
05/18/2022	14:26:42.6581	100	228.567749	2894.623	319.3781	232.506973	2.60325933	314.8	3499	264.9	25	24	22	22	22	255.5	-557.8	295.4
05/18/2022	14:26:43.6581	100	254.61615	3384.22876	319.4164	293.1483	2.58744431	314.7	3497	264.9	25	24	23	23	22	243.9	-556	308.8
05/18/2022	14:26:44.6581	100	255.98642	3497.09058	319.4583	316.363342	2.600027	314.6	3506	264.9	25	25	23	23	22	229.2	-552.9	320.3
05/18/2022	14:26:45.6581	100	255.983109	3498.559	319.459656	317.315552	2.66478872	314.6	3493	264.9	25	24	22	22	21	218.9	-549.4	331.7
05/18/2022	14:26:46.6581	100	255.976089	3498.56885	319.459747	317.215851	2.72019958	314.7	3506	264.9	25	25	22	22	21	187.1	-544.6	356
05/18/2022	14:26:47.6581	100	255.964737	3498.569	319.459778	317.1684	2.74644637	314.7	3506	264.9	25	25	22	22	21	278.6	-555.2	271.5
05/18/2022	14:26:48.6581	100	255.963226	3498.569	319.459717	316.931274	2.75702477	314.6	3499	264.9	26	25	22	22	21	518	-84.8	-448.5
05/18/2022	14:26:49.6581	100	254.498413	3515.78931	319.4581	317.244141	2.75910258	314.3	3782	264.9	26	26	22	22	21	-498.8	319.5	188.7
05/18/2022	14:26:50.6581	100	249.248032	3595.00781	319.4577	318.2642	2.723306	314.1	4110	264.9	26	25	22	22	21	-398.7	411.7	-8.3
05/18/2022	14:26:51.6581	100	243.84996	3741.16772	319.4477	321.517731	2.64527941	313.3	4432	264.9	27	27	21	21	20	96.3	394.3	-460.7
05/18/2022	14:26:52.6581	100	238.569656	3936.45776	319.446533	329.901855	2.96963286	313.4	4495	264.9	27	28	21	21	20	274.6	-506	228
05/18/2022	14:26:53.6581	100	233.29866	4136.34033	319.446533	339.034058	3.077231	313.5	4491	264.9	28	28	21	21	20	320.9	-482.5	152.4
05/18/2022	14:26:54.6581	100	229.494	4319.037	319.448	347.767761	3.05562067	313.5	4503	264.9	28	28	21	21	20	275	-493.7	214.3
05/18/2022	14:26:55.6581	100	229.472778	4439.735	319.4483	355.694733	2.97343922	313.6	4492	264.9	28	29	21	21	20	371.6	107.6	-494.3
05/18/2022	14:26:56.6581	100	229.6003	4493.4917	319.4582	361.32547	3.005439	313.7	4509	264.9	28	29	21	21	20	287.3	-499.7	209.3
05/18/2022	14:26:57.6581	100	229.612427	4498.118	319.459229	361.901978	3.03743887	313.6	4494	264.9	29	29	21	21	20	246.7	-497.9	247.6
05/18/2022	14:26:58.6581	100	229.6062	4498.15234	319.4592	361.668518	2.9572835	313.6	4490	264.9	29	30	21	21	20	391.2	84.1	-491.2
05/18/2022	14:26:59.6581	100	229.606964	4498.151	319.459167	361.666931	2.91910172	313.7	4503	264.9	30	30	21	20	20	263.4	-501.9	234.9
05/18/2022	14:27:00.6581	100	229.5933	4498.151	319.459167	361.815948	2.85814977	313.7	4492	264.9	30	30	21	20	20	236.2	-486.6	142.4
05/18/2022	14:27:01.6581	100	229.587158	4498.15332	319.4591	361.966034	2.79719782	313.7	4489	264.9	30	30	21	20	20	288.7	-494.4	201.7
